Incarnate Word 	.3242
Gardner Webb 	.3231
Idaho St. 	.3212
Lehigh 	.3204
Cal St. Fullerton 	.3197
Marshall 	.3195
Northern Arizona 	.3190
South Dakota 	.3179
Norfolk St. 	.3072
Radford 	.3032
Air Force 	.2998
Lipscomb 	.2981
Portland St. 	.2972
North Florida 	.2968
South Alabama 	.2958
Sacramento St. 	.2921
Illinois Chicago 	.2915
James Madison 	.2889
Tennessee Tech 	.2875
Penn 	.2872
Hofstra 	.2868
Louisiana Monroe 	.2852
Chattanooga 	.2816
UMKC 	.2802
Fairfield 	.2779
Niagara 	.2764
Monmouth 	.2727
UC Riverside 	.2674
Savannah St. 	.2634
Texas St. 	.2596
Western Illinois 	.2573
UNC Wilmington 	.2571
Fairleigh Dickinson 	.2531
Tulane 	.2439
Chicago St. 	.2408
Central Michigan 	.2297
Tennessee St. 	.2276
SIU Edwardsville 	.2271
Alabama St. 	.2217
Liberty 	.2193
Austin Peay 	.2185
Georgia Southern 	.2180
Coppin St. 	.2149
Loyola MD 	.2130
Nicholls St. 	.2117
Texas Pan American 	.2101
Eastern Illinois 	.2063
Alabama A&M 	.2055
Navy 	.2019
Central Connecticut 	.2018
Sacred Heart 	.2006
Jacksonville 	.2002
Florida A&M 	.1998
Montana St. 	.1992
San Jose St. 	.1964
Jackson St. 	.1955
Ball St. 	.1892
Southeastern Louisiana 	.1890
UTSA 	.1861
McNeese St. 	.1850
St. Francis PA 	.1849
NJIT 	.1819
Jacksonville St. 	.1811
New Orleans 	.1781
Rice 	.1778
Northern Kentucky 	.1760
Samford 	.1748
UNC Greensboro 	.1744
UC Davis 	.1740
Prairie View A&M 	.1730
Tennessee Martin 	.1676
Alcorn St. 	.1671
LIU Brooklyn 	.1632
Delaware St. 	.1585
Arkansas Pine Bluff 	.1577
UMass Lowell 	.1491
UMBC 	.1428
Central Arkansas 	.1378
IUPUI 	.1320
New Hampshire 	.1314
Campbell 	.1236
Appalachian St. 	.1187
Howard 	.1169
Binghamton 	.1146
Maryland Eastern Shore 	.1118
Stetson 	.1071
Bethune Cookman 	.1062
Maine 	.1048
Kennesaw St. 	.1032
Lamar 	.1026
Furman 	.1024
North Carolina A&T 	.1019
Cornell 	.1002
Houston Baptist 	.0948
South Carolina St. 	.0929
Mississippi Valley St. 	.0928
The Citadel 	.0924
Longwood 	.0905
Abilene Christian 	.0813
Grambling St. 	.0743
Presbyterian 	.0697
Southern Utah 	.0600
